,Date,Province_Id,Daily_Total,Daily_100k,N_Day_Rate,NDR_Change,NDRC_Sliding_Window
78,2020-05-18,10,60,3.0193692537628887,8.185764946278265,0.8127313689304055,0.9624151972939055
736,2020-05-18,20,3.0,0.2688424986221822,7.649442310563677,0.9636897858988703,0.9597830328158878
79,2020-05-19,10,70,3.5225974627233705,10.186283945005712,1.2443899882120366,0.9673261477939743
737,2020-05-19,20,4.0,0.3584566648295762,10.309000527420556,1.3476800149448935,0.9789860599640735
1467,2020-05-19,30,6,0.4714801648294656,10.094868739016984,1.8790200211749855,1.0353699715808165
2197,2020-05-19,40,80.0,1.8282985419547666,11.137367006255975,1.893044707371073,1.0733777031279408
2198,2020-05-20,40,89.0,2.033982127924678,11.503026714646928,1.0328317912290723,1.0785266306465373
80,2020-05-20,10,64,3.2206605373470816,11.70431799823112,1.1490272666088102,0.9930129806891331
738,2020-05-20,20,17.0,1.5234408255256993,12.958916325134638,1.257048759544212,1.0183495704912826
1468,2020-05-20,30,8,0.6286402197726209,10.064959082183888,0.9970371425715032,1.0418058420130303
2199,2020-05-21,40,30.0,0.6856119532330375,10.392114370587349,0.9034243445992312,1.068230896397212
1469,2020-05-21,30,0,0.0,9.920634205757883,0.9856606593978632,1.0667748433109714
81,2020-05-21,10,12,0.6038738507525778,8.696209514555695,0.7429915622482197,0.9727495827584809
739,2020-05-21,20,18.0,1.613054991733093,8.27528237836411,0.6385782708013692,0.9815746333199697
82,2020-05-22,10,41,2.063235656737974,7.117857497755002,0.8185011510867061,0.90584194628705
740,2020-05-22,20,30.0,2.688424986221822,8.282841658451126,1.0009134769958763,0.9372537721120999
1470,2020-05-22,30,3,0.2357400824147328,7.889941521093237,0.7953061626356466,1.0003993440532668
2200,2020-05-22,40,74.0,1.6911761513081591,8.895505719168359,0.8559861258210534,1.0128686494968047
2201,2020-05-23,40,35.0,0.7998806121052102,9.69538633127357,1.0899196332797132,1.0140818533428393
83,2020-05-23,10,26,1.3083933432972519,10.399905823818242,1.4611005948206197,0.9973939421718924
741,2020-05-23,20,7.0,0.6272991634517584,9.41414999553691,1.1365845664732093,1.0029866286818474
1471,2020-05-23,30,2,0.15716005494315521,7.508074393742089,0.9516007658193345,0.9774504302731843
84,2020-05-24,10,21,1.0567792388170112,5.8764286463372795,0.5650463327157126,0.9705411806603587
742,2020-05-24,20,17.0,1.5234408255256993,7.164129389448245,0.7609958830956208,1.0150701082505786
1472,2020-05-24,30,6,0.4714801648294656,5.944433402969552,0.7917387456794758,1.0282153694442802
2202,2020-05-24,40,44.0,1.0055641980751215,6.150116988939463,0.6343343915137825,1.0504091393337938
1473,2020-05-25,30,24,1.8859206593178623,6.727644304960074,1.1317553497359845,1.0760169781449704
2203,2020-05-25,40,69.0,1.5769074924359863,7.677252633944302,1.2483100155251161,1.093978715619863
85,2020-05-25,10,38,1.9122671940498297,9.432359773050976,1.6051177238287533,1.0837392313601224
743,2020-05-25,20,7.0,0.6272991634517584,9.002879697685724,1.2566606782599012,1.0569230928735833
2204,2020-05-26,40,55.0,1.256955247593902,8.736394119753925,1.1379583994835238,0.986109243064499
1474,2020-05-26,30,7,0.5500601923010433,8.814974147225504,1.3102616231845834,0.9947657784320558
744,2020-05-26,20,5.0,0.4480708310369704,8.257480780187352,0.9172043898698342,0.9954265750057176
86,2020-05-26,10,43,2.1638812985300704,8.535441419399561,0.9049105022251183,1.03524216193342
87,2020-05-27,10,47,2.365172582114263,9.323706509077837,1.0923520004351137,1.0271456953371776
745,2020-05-27,20,14.0,1.2545983269035168,8.666037641931524,1.0494771798590734,0.9657734921935549
1475,2020-05-27,30,5,0.392900137357888,8.431638615837652,0.9565131417307099,0.9889766354547997
2205,2020-05-27,40,66.0,1.5083462971126822,8.683029665356434,0.9938917070743377,0.9805463738995368
88,2020-05-28,10,23,1.1574248806091074,9.290394353664498,0.9964271552969942,1.0633507800584312
746,2020-05-28,20,11.0,0.9857558282813348,9.828079350908864,1.1340914679800926,1.0365610917905153
1476,2020-05-28,30,3,0.2357400824147328,7.8999381347935245,0.9369398398971461,0.9820165183832686
2206,2020-05-28,40,37.0,0.8455880756540796,6.380353628333341,0.7348073050803554,0.9564582253968403
89,2020-05-29,10,23,1.1574248806091074,6.283180182038933,0.6763093086097685,1.043037659704583
747,2020-05-29,20,6.0,0.5376849972443644,6.427965041925408,0.6540408163606224,0.9870078545569078
1477,2020-05-29,30,5,0.392900137357888,5.312518882170615,0.6724760107642874,0.9644693538302175
2207,2020-05-29,40,34.0,0.7770268803307758,4.932120881892282,0.7730168528575174,0.9446054721163352
2208,2020-05-30,40,31.0,0.708465685007472,4.65483073861842,0.9437787211801922,0.9237281989592608
1478,2020-05-30,30,4,0.31432010988631043,4.733410766089998,0.890991800890503,0.9558109302689558
748,2020-05-30,20,9.0,0.8065274958665465,4.694350186302465,0.7303011381804804,0.9289673648008037
90,2020-05-30,10,18,0.9058107761288667,4.442736081822224,0.7070839850371006,0.9353210011640801
91,2020-05-31,10,14,0.704519492544674,4.6095705771225335,1.0375521958153051,1.002821838749736
749,2020-05-31,20,9.0,0.8065274958665465,5.023197935631192,1.0700518146874223,0.9731182121710609
1479,2020-05-31,30,5,0.392900137357888,4.639071192658305,0.9800694302494222,0.9827153137789482
2209,2020-05-31,40,28.0,0.6399044896841682,4.570509997335,0.9818853260154317,0.9733783324594965
92,2020-06-01,10,13,0.6541966716486259,4.910386559097316,1.0652590034021268,0.9256991644030752
750,2020-06-01,20,7.0,0.6272991634517584,4.731158226682528,0.9418617954755215,0.9281469432018637
1480,2020-06-01,30,1,0.07858002747157761,3.903927478025239,0.8415321334588508,0.9412548543107861
2210,2020-06-01,40,21.0,0.4799283672631262,3.679336352743691,0.8050165856521614,0.9100506996205028
93,2020-06-02,10,34,1.710975910465637,4.583784767342781,0.9334875599255114,0.9297816012174173
751,2020-06-02,20,9.0,0.8065274958665465,4.99741212585144,1.0562766845689726,0.9480144138731692
1481,2020-06-02,30,7,0.5500601923010433,4.907567828468315,1.2570847834885388,0.9336581629256369
2211,2020-06-02,40,50.0,1.1426865887217292,5.396057745541418,1.4665845218302924,0.956997288527184
1482,2020-06-03,30,6,0.4714801648294656,5.240238746919126,1.067787329707604,0.9495544754937646
2212,2020-06-03,40,41.0,0.9370030027518178,6.098661722199366,1.130206904705289,0.9764708881887485
94,2020-06-03,10,28,1.409038985089348,7.027772340025588,1.5331811367093455,0.9927571921137359
752,2020-06-03,20,7.0,0.6272991634517584,5.944095593011708,1.1894347400853948,0.968008351048358
753,2020-06-04,20,18.0,1.613054991733093,6.750623088878255,1.1356854854108935,0.9682360678241867
1483,2020-06-04,30,4,0.31432010988631043,6.514883006463523,1.2432416386169034,0.9933118753108728
95,2020-06-04,10,28,1.409038985089348,6.7812354028311415,0.964919618156904,0.9882561153794374
2213,2020-06-04,40,50.0,1.1426865887217292,7.452441826723405,1.2219798647949642,1.0460669681479784
2214,2020-06-05,40,59.0,1.3483701746916403,7.863808998663227,1.0551989779329398,1.08637870030161
1484,2020-06-05,30,3,0.2357400824147328,6.690510095988612,1.0269578270785287,1.043952134784336
96,2020-06-05,10,41,2.063235656737974,8.126446589274828,1.1983725835386965,1.0628365832264273
754,2020-06-05,20,15.0,1.344212493110911,7.857604090652645,1.1639820483531595,1.041084815251692
97,2020-06-06,10,26,1.3083933432972519,8.851677324063587,1.0892432783285513,1.1174307679823487
755,2020-06-06,20,14.0,1.2545983269035168,8.697236665877757,1.1068560550440476,1.0948783748036301
1485,2020-06-06,30,2,0.15716005494315521,7.711710132099181,1.1526341073340347,1.0813296071334118
2215,2020-06-06,40,42.0,0.9598567345262524,7.323196691933794,0.9312531234136877,1.0845893291921094
98,2020-06-07,10,23,1.1574248806091074,8.244881490128169,0.931448491430452,1.1022730959273697
756,2020-06-07,20,9.0,0.8065274958665465,6.988173329256742,0.8034935230259679,1.056798618851994
1486,2020-06-07,30,1,0.07858002747157761,5.722540863617407,0.7420586051073074,1.047328060684538
2216,2020-06-07,40,33.0,0.7541731485563411,5.168320668876497,0.7057465320533032,1.0451409300546624
2217,2020-06-08,40,46.0,1.0512716616239908,4.9649940035969715,0.9606590460797153,1.067375567258599
1487,2020-06-08,30,3,0.2357400824147328,5.043574031068549,0.8813522089696951,1.0530166429003731
99,2020-06-08,10,33,1.6606530895695888,5.7443703861118856,0.6967195820812929,1.0496246071672506
757,2020-06-08,20,10.0,0.8961416620739407,5.483087167576718,0.7846238078585117,1.0343360491924212
100,2020-06-09,10,22,1.1071020597130594,5.783661731423232,1.0068399742130731,1.060103523494045
758,2020-06-09,20,6.0,0.5376849972443644,6.242766701196018,1.1385495999610462,1.0460893228198602
1488,2020-06-09,30,3,0.2357400824147328,5.72433363505441,1.1349756343006692,1.0355724787306777
2218,2020-06-09,40,31.0,0.708465685007472,5.381527658437891,1.0838940902122247,1.012705505598875
101,2020-06-10,10,16,0.8051651343367704,5.950952710359928,1.028924751602914,0.9880668970502692
759,2020-06-10,20,8.0,0.7169133296591524,5.0072129504494916,0.8020823442737635,0.9907532662753413
1489,2020-06-10,30,7,0.5500601923010433,4.661131480676595,0.8142662146966719,0.9993551765862586
2219,2020-06-10,40,31.0,0.708465685007472,4.2624951059710074,0.7920604290284912,0.9643988662164753
2220,2020-06-11,40,30.0,0.6856119532330375,4.410422061959681,1.034704311045766,0.9376452156808754
1490,2020-06-11,30,4,0.31432010988631043,4.489002089431258,0.9630713289339886,0.9593308466315564
102,2020-06-11,10,18,0.9058107761288667,4.686347180552652,0.7874952816200771,0.962720563259294
760,2020-06-11,20,8.0,0.7169133296591524,4.598095375875035,0.9182943528419876,0.9596973901940692
103,2020-06-12,10,17,0.8554879552328185,4.736670001448701,1.010738176015827,0.935915647898884
761,2020-06-12,20,12.0,1.0753699944887287,5.261979803636386,1.1443824830699627,0.9568974522964696
1491,2020-06-12,30,3,0.2357400824147328,4.789254201043647,1.0668861599149824,0.9650348941796213
2221,2020-06-12,40,32.0,0.7313194167819066,4.834961664592516,1.0962582711288633,0.9435108289945787
2222,2020-06-13,40,24.0,0.5484895625864299,5.069131117292636,1.0484325355493496,0.9602507450139591
104,2020-06-13,10,11,0.5535510298565297,4.716871371020298,0.995820137264714,0.9225694848897642
762,2020-06-13,20,9.0,0.8065274958665465,4.806485537227693,0.9134367132891853,0.9292661177600606
1492,2020-06-13,30,4,0.31432010988631043,4.265317691881185,0.8906016496162829,0.9276016859342283
2223,2020-06-14,40,8.0,0.18282985419547665,3.3727775515879324,0.6653561475421638,0.9544806900837963
1493,2020-06-14,30,1,0.07858002747157761,3.2156174966447777,0.7538987078888736,0.9292931291887376
105,2020-06-14,10,4,0.2012912835841926,2.6855893634470633,0.5693581936422718,0.8708422994914529
763,2020-06-14,20,3.0,0.2688424986221822,2.4059422994828155,0.5005616433978757,0.8859901349560475
