,Date,Province_Id,Work_Commute_Allowed,Leisure_Travel_Allowed,Holiday,Vacation
458,2021-06-16,20,1,1,0,0
459,2021-06-17,20,1,1,0,0
460,2021-06-18,20,1,1,0,0
461,2021-06-19,20,1,1,0,0
462,2021-06-20,20,1,1,0,0
463,2021-06-21,20,1,1,0,0
464,2021-06-22,20,1,1,0,0
465,2021-06-23,20,1,1,0,0
466,2021-06-24,20,1,1,0,0
467,2021-06-25,20,1,1,0,0
468,2021-06-26,20,1,1,0,0
469,2021-06-27,20,1,1,0,0
470,2021-06-28,20,1,1,0,0
471,2021-06-29,20,1,1,0,0
472,2021-06-30,20,1,1,0,0
473,2021-07-01,20,1,1,0,1
474,2021-07-02,20,1,1,0,1
475,2021-07-03,20,1,1,0,1
476,2021-07-04,20,1,1,0,1
477,2021-07-05,20,1,1,0,1
478,2021-07-06,20,1,1,0,1
479,2021-07-07,20,1,1,0,1
480,2021-07-08,20,1,1,0,1
481,2021-07-09,20,1,1,0,1
482,2021-07-10,20,1,1,0,1
483,2021-07-11,20,1,1,0,1
484,2021-07-12,20,1,1,0,1
485,2021-07-13,20,1,1,0,1
486,2021-07-14,20,1,1,0,1
487,2021-07-15,20,1,1,0,1
488,2021-07-16,20,1,1,0,1
489,2021-07-17,20,1,1,0,1
490,2021-07-18,20,1,1,0,1
491,2021-07-19,20,1,1,0,1
492,2021-07-20,20,1,1,0,1
493,2021-07-21,20,1,1,0,1
494,2021-07-22,20,1,1,0,1
495,2021-07-23,20,1,1,0,1
496,2021-07-24,20,1,1,0,1
497,2021-07-25,20,1,1,0,1
498,2021-07-26,20,1,1,0,1
499,2021-07-27,20,1,1,0,1
500,2021-07-28,20,1,1,0,1
501,2021-07-29,20,1,1,0,1
502,2021-07-30,20,1,1,0,1
503,2021-07-31,20,1,1,0,1
504,2021-08-01,20,1,1,0,1
505,2021-08-02,20,1,1,0,1
506,2021-08-03,20,1,1,0,1
507,2021-08-04,20,1,1,0,1
508,2021-08-05,20,1,1,0,1
509,2021-08-06,20,1,1,0,1
510,2021-08-07,20,1,1,0,1
511,2021-08-08,20,1,1,0,1
512,2021-08-09,20,1,1,0,1
513,2021-08-10,20,1,1,0,1
514,2021-08-11,20,1,1,0,1
515,2021-08-12,20,1,1,0,1
516,2021-08-13,20,1,1,0,1
517,2021-08-14,20,1,1,0,1
518,2021-08-15,20,1,1,0,1
519,2021-08-16,20,1,1,0,1
520,2021-08-17,20,1,1,0,1
521,2021-08-18,20,1,1,0,1
522,2021-08-19,20,1,1,0,1
523,2021-08-20,20,1,1,0,1
524,2021-08-21,20,1,1,0,1
525,2021-08-22,20,1,1,0,1
526,2021-08-23,20,1,1,0,1
527,2021-08-24,20,1,1,0,1
528,2021-08-25,20,1,1,0,1
529,2021-08-26,20,1,1,0,1
530,2021-08-27,20,1,1,0,1
531,2021-08-28,20,1,1,0,1
532,2021-08-29,20,1,1,0,1
533,2021-08-30,20,1,1,0,1
534,2021-08-31,20,1,1,0,1
535,2021-09-01,20,1,1,0,0
536,2021-09-02,20,1,1,0,0
537,2021-09-03,20,1,1,0,0
538,2021-09-04,20,1,1,0,0
539,2021-09-05,20,1,1,0,0
540,2021-09-06,20,1,1,0,0
541,2021-09-07,20,1,1,0,0
542,2021-09-08,20,1,1,0,0
543,2021-09-09,20,1,1,0,0
544,2021-09-10,20,1,1,0,0
545,2021-09-11,20,1,1,0,0
546,2021-09-12,20,1,1,0,0
547,2021-09-13,20,1,1,0,0
548,2021-09-14,20,1,1,0,0
549,2021-09-15,20,1,1,0,0
550,2021-09-16,20,1,1,0,0
551,2021-09-17,20,1,1,0,0
552,2021-09-18,20,1,1,0,0
553,2021-09-19,20,1,1,0,0
554,2021-09-20,20,1,1,0,0
555,2021-09-21,20,1,1,0,0
556,2021-09-22,20,1,1,0,0
557,2021-09-23,20,1,1,0,0
558,2021-09-24,20,1,1,0,0
559,2021-09-25,20,1,1,0,0
560,2021-09-26,20,1,1,0,0
561,2021-09-27,20,1,1,0,0
562,2021-09-28,20,1,1,0,0
563,2021-09-29,20,1,1,0,0
564,2021-09-30,20,1,1,0,0
565,2021-10-01,20,1,1,0,0
566,2021-10-02,20,1,1,0,0
567,2021-10-03,20,1,1,0,0
568,2021-10-04,20,1,1,0,0
569,2021-10-05,20,1,1,0,0
570,2021-10-06,20,1,1,0,0
571,2021-10-07,20,1,1,0,0
572,2021-10-08,20,1,1,0,0
573,2021-10-09,20,1,1,0,0
574,2021-10-10,20,1,1,0,0
575,2021-10-11,20,1,1,0,0
576,2021-10-12,20,1,1,0,0
577,2021-10-13,20,1,1,0,0
578,2021-10-14,20,1,1,0,0
579,2021-10-15,20,1,1,0,0
580,2021-10-16,20,1,1,0,0
581,2021-10-17,20,1,1,0,0
582,2021-10-18,20,1,1,0,0
583,2021-10-19,20,1,1,0,0
584,2021-10-20,20,1,1,0,0
585,2021-10-21,20,1,1,0,0
586,2021-10-22,20,1,1,0,0
587,2021-10-23,20,1,1,0,0
588,2021-10-24,20,1,1,0,0
589,2021-10-25,20,1,1,0,0
590,2021-10-26,20,1,1,0,0
591,2021-10-27,20,1,1,0,0
592,2021-10-28,20,1,1,0,0
593,2021-10-29,20,1,1,0,0
594,2021-10-30,20,1,1,0,1
595,2021-10-31,20,1,1,0,1
596,2021-11-01,20,1,1,0,1
597,2021-11-02,20,1,1,0,1
598,2021-11-03,20,1,1,0,1
599,2021-11-04,20,1,1,0,1
600,2021-11-05,20,1,1,0,1
601,2021-11-06,20,1,1,0,1
602,2021-11-07,20,1,1,0,1
603,2021-11-08,20,1,1,0,0
604,2021-11-09,20,1,1,0,0
605,2021-11-10,20,1,1,0,0
606,2021-11-11,20,1,1,0,1
607,2021-11-12,20,1,1,0,1
608,2021-11-13,20,1,1,0,1
609,2021-11-14,20,1,1,0,1
610,2021-11-15,20,1,1,0,0
